customerID,Churn_Yes,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,charges_ratio,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,HighSpender,HighChurnRisk
3655-SNQYZ,0,0,69,113.25,7895.15,112.78785714285713,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,1,0
8191-XWSZG,0,0,52,20.65,1022.95,19.300943396226415,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0
9959-WOFKT,0,0,71,106.7,7382.25,102.53125,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,1,0
4190-MFLUW,1,0,10,55.2,528.35,48.03181818181818,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,0,0
4183-MYFRB,0,0,21,90.05,1862.9,84.67727272727274,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,False,1,1
8779-QRDMV,1,1,1,39.65,39.65,19.825,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,0,1
1680-VDCWW,0,0,12,19.8,202.25,15.557692307692308,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0,0
1066-JKSGK,1,0,1,20.15,20.15,10.075,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
3638-WEABW,0,0,58,59.9,3505.1,59.40847457627118,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,True,True,False,False,0,0
6322-HRPFA,0,0,49,59.6,2970.3,59.406000000000006,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,0,0
6865-JZNKO,0,0,30,55.3,1530.6,49.37419354838709,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,0,0
6467-CHFZW,1,0,47,99.35,4749.15,98.940625,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,True,False,1,1
8665-UTDHZ,1,0,1,30.2,30.2,15.1,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,1
5248-YGIJN,0,0,72,90.25,6369.45,87.2527397260274,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,1,0
8773-HHUOZ,1,0,17,64.7,1093.1,60.727777777777774,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,0,0
3841-NFECX,0,1,71,96.35,6766.95,93.98541666666667,False,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,True,False,False,1,0
4929-XIHVW,0,1,2,95.5,181.65,60.550000000000004,True,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,1,1
6827-IEAUQ,0,0,27,66.15,1874.45,66.94464285714285,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,True,0,0
7310-EGVHZ,0,0,1,20.2,20.2,10.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0
3413-BMNZE,0,1,1,45.25,45.25,22.625,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
6234-RAAPL,0,0,72,99.9,7251.7,99.33835616438355,False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,1,0
6047-YHPVI,1,0,5,69.7,316.9,52.81666666666666,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
6572-ADKRS,0,0,46,74.8,3548.3,75.49574468085106,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0,0
5380-WJKOV,1,0,34,106.35,3549.25,101.40714285714286,True,False,False,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,1,1
8168-UQWWF,1,0,11,97.85,1105.4,92.11666666666667,False,False,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,False,False,1,1
8865-TNMNX,0,0,10,49.55,475.7,43.24545454545454,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0,0
9489-DEDVP,0,0,70,69.2,4872.35,68.62464788732395,False,True,True,True,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,0,0
9867-JCZSP,0,0,17,20.75,418.25,23.23611111111111,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0
4671-VJLCL,0,0,63,79.85,4861.45,75.96015625,False,False,False,True,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,0,0
4080-IIARD,0,0,13,76.2,981.45,70.10357142857143,False,True,False,True,True,False,False,True,True,False,True,True,False,False,False,True,False,True,False,0,0
3714-NTNFO,0,0,49,84.5,3906.7,78.134,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,0,1
5948-UJZLF,0,0,2,49.25,97.0,32.333333333333336,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0
7760-OYPDY,1,0,2,80.65,144.15,48.050000000000004,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0,1
7639-LIAYI,0,0,52,79.75,4217.8,79.5811320754717,True,False,False,True,True,False,False,True,False,False,True,True,True,False,True,True,True,False,False,0,0
2954-PIBKO,0,0,69,64.15,4254.1,60.77285714285715,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,0,0
8012-SOUDQ,0,1,43,90.25,3838.75,87.24431818181819,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,1,1
9420-LOJKX,1,0,15,99.1,1426.4,89.15,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,True,True,False,False,1,1
6575-SUVOI,0,1,25,69.5,1752.65,67.40961538461539,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,0,0
7495-OOKFY,1,1,8,80.65,633.3,70.36666666666666,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,0,1
4667-QONEA,0,1,60,74.85,4456.35,73.05491803278689,False,True,True,True,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,0,0
1658-BYGOY,1,1,18,95.45,1752.55,92.23947368421052,True,False,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,False,1,1
8769-KKTPH,0,0,63,99.65,6311.2,98.6125,False,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True,False,False,1,0
5067-XJQFU,0,1,66,108.45,7076.35,105.61716417910448,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,1,1
3957-SQXML,0,0,34,24.95,894.3,25.55142857142857,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0,0
5954-BDFSG,0,0,72,107.5,7853.7,107.58493150684932,False,False,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,False,1,0
0434-CSFON,0,0,47,100.5,4707.1,98.06458333333335,False,True,False,True,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,1,1
1215-FIGMP,0,0,60,89.9,5450.7,89.35573770491803,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,1,1
0526-SXDJP,0,0,72,42.1,2962.0,40.57534246575342,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,0,0
0557-ASKVU,0,0,18,54.4,957.1,50.373684210526314,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,0,0
5698-BQJOH,1,0,9,94.4,857.25,85.725,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,1,1
5122-CYFXA,0,0,3,75.3,244.1,61.025,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,0,1
8627-ZYGSZ,0,0,47,78.9,3650.35,76.04895833333333,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,0,0
3410-YOQBQ,0,0,31,79.2,2497.2,78.0375,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,True,0,0
3170-NMYVV,0,0,50,20.15,930.9,18.25294117647059,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0
7410-OIEDU,0,0,10,79.85,887.35,80.66818181818182,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0,1
2273-QCKXA,0,0,1,49.05,49.05,24.525,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0
0731-EBJQB,0,0,52,20.4,1090.65,20.578301886792456,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,0,0
1891-QRQSA,0,1,64,111.6,7099.0,109.21538461538462,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False,False,False,1,0
8028-PNXHQ,0,0,62,24.25,1424.6,22.61269841269841,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,0,0
5630-AHZIL,0,0,3,64.5,177.4,44.35,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,0,0
2673-CXQEU,0,1,56,110.5,6139.5,107.71052631578948,False,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,1,1
6416-JNVRK,0,0,46,55.65,2688.85,57.2095744680851,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,0,0
5590-ZSKRV,0,0,8,54.65,482.25,53.583333333333336,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,0,0
0191-ZHSKZ,0,1,30,74.75,2111.3,68.10645161290323,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,0,0
3887-PBQAO,0,0,45,25.9,1216.6,26.44782608695652,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,0,0
5919-TMRGD,1,0,1,79.35,79.35,39.675,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0,1
8108-UXRQN,0,0,11,50.55,565.35,47.112500000000004,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,0,1
9191-MYQKX,1,0,7,75.15,496.9,62.1125,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0,1
9919-YLNNG,0,0,42,103.8,4327.5,100.63953488372093,False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,False,1,1
0318-ZOPWS,0,0,49,20.15,973.35,19.467,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,0,0
4445-ZJNMU,0,0,9,99.3,918.75,91.875,True,False,False,True,True,True,False,False,True,False,False,True,True,False,False,True,True,False,False,1,1
4808-YNLEU,0,0,35,62.15,2215.45,61.540277777777774,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,0,0
1862-QRWPE,0,0,48,20.65,1057.0,21.571428571428573,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0
2796-NNUFI,0,0,46,19.95,927.1,19.72553191489362,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,0,0
3016-KSVCP,0,0,29,33.75,1009.25,33.641666666666666,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0
4767-HZZHQ,0,0,30,82.05,2570.2,82.90967741935484,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,0,0
2424-WVHPL,0,1,1,74.7,74.7,37.35,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0,1
7233-PAHHL,0,0,66,84.0,5714.25,85.28731343283582,True,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,False,False,True,0,0
6067-NGCEU,0,0,65,111.05,7107.0,107.68181818181819,False,False,False,True,True,True,False,True,True,True,False,True,True,False,False,True,True,False,False,1,1
9848-JQJTX,0,0,72,100.9,7459.05,102.17876712328767,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,1,0
8637-XJIVR,1,0,12,78.95,927.35,71.33461538461539,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,0,1
9803-FTJCG,0,0,71,66.85,4748.7,65.95416666666667,True,True,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,False,False,0,0
0278-YXOOG,1,0,5,21.05,113.85,18.974999999999998,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
3212-KXOCR,0,0,52,21.0,1107.2,20.89056603773585,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0
4598-XLKNJ,1,1,25,98.5,2514.5,96.71153846153847,False,True,False,True,False,True,False,False,True,True,False,True,True,False,False,True,False,True,False,1,1
6380-ARCEH,0,0,1,20.2,20.2,10.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
3679-XASPY,0,0,1,19.45,19.45,9.725,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0,1
7123-WQUHX,0,0,38,95.0,3605.6,92.45128205128205,True,False,False,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,1,0
5386-THSLQ,0,1,66,45.55,3027.25,45.18283582089552,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,0,0
3192-NQECA,1,0,68,110.0,7611.85,110.31666666666668,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,False,False,False,1,0
6180-YBIQI,0,0,5,24.3,100.2,16.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0
6728-DKUCO,0,0,72,104.15,7303.05,100.04178082191781,False,True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,False,1,1
9750-BOOHV,0,0,32,30.15,927.65,28.11060606060606,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0,0
8597-CWYHH,0,0,43,94.35,3921.3,89.12045454545455,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,1,0
2848-YXSMW,0,0,72,19.4,1363.25,18.674657534246574,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0,0
0486-HECZI,1,0,55,96.75,5238.9,93.55178571428571,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,1,1
4549-ZDQYY,0,0,52,57.95,3042.25,57.40094339622642,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,0,0
5712-AHQNN,0,0,43,91.65,3954.1,89.86590909090908,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,False,1,1
4846-WHAFZ,1,1,37,76.5,2868.15,75.47763157894737,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
5256-SKJGO,0,0,64,54.6,3423.5,52.66923076923077,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,False,True,False,0,0
3071-VBYPO,0,0,3,89.85,248.4,62.1,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,1,1
9560-BBZXK,0,0,36,31.05,1126.35,30.44189189189189,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0,0
5299-RULOA,1,0,10,100.25,1064.65,96.78636363636365,False,True,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,True,False,1,1
8402-OOOHJ,0,0,41,20.65,835.15,19.88452380952381,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,0
9445-ZUEQE,0,0,27,85.2,2151.6,76.84285714285714,True,True,True,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,0,0
1091-SOZGA,0,0,56,99.8,5515.45,96.76228070175438,False,True,True,True,True,True,False,False,False,True,False,True,True,True,False,True,True,False,False,1,0
2928-HLDBA,0,0,6,20.7,112.75,16.107142857142858,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
0404-SWRVG,1,0,3,74.4,229.55,57.3875,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
6497-TILVL,0,0,7,50.7,350.35,43.79375,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,0
7219-TLZHO,0,0,4,20.85,62.9,12.58,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
4622-YNKIJ,0,0,33,88.95,3027.65,89.0485294117647,True,False,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,False,0,0
4412-YLTKF,1,1,27,78.05,2135.5,76.26785714285714,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0,1
6734-PSBAW,0,0,72,23.55,1723.95,23.615753424657534,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,0,0
3930-ZGWVE,0,0,1,19.75,19.75,9.875,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
2639-UGMAZ,0,1,71,56.45,3985.35,55.35208333333333,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,False,0,0
2876-GZYZC,0,0,13,85.95,1215.65,86.83214285714287,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,0,1
6207-WIOLX,1,0,25,58.6,1502.65,57.79423076923077,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,0,0
8587-XYZSF,0,0,67,50.55,3260.1,47.942647058823525,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,0
3091-FYHKI,1,0,1,35.45,35.45,17.725,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,1
2372-HWUHI,1,0,2,44.35,81.25,27.083333333333332,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1
7799-LGRDP,0,0,43,25.7,1188.2,27.004545454545454,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,0,0
7850-VWJUU,0,0,23,75.0,1778.5,74.10416666666667,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0
3774-VBNXY,0,0,64,20.2,1277.75,19.657692307692308,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,0
6217-KDYWC,0,0,57,19.6,1170.55,20.181896551724137,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,0,0
0390-DCFDQ,1,1,1,70.45,70.45,35.225,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,0,1
3146-MSEGF,0,1,72,88.05,6425.65,88.02260273972603,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,0,0
4080-OGPJL,1,0,8,71.15,563.65,62.62777777777777,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,0,1
1095-WGNGG,0,0,61,101.05,5971.25,96.31048387096774,False,True,False,True,True,True,False,False,True,False,False,True,True,False,True,True,False,False,False,1,0
2636-SJDOU,0,0,64,84.3,5289.05,81.37,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,0,0
1131-QQZEB,0,1,71,23.95,1756.2,24.391666666666666,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0
5716-EZXZN,0,0,65,99.05,6416.7,97.22272727272727,False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,False,False,1,0
6837-BJYDQ,0,0,3,19.6,61.35,15.3375,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0
2135-RXIHG,1,0,1,45.65,45.65,22.825,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
6440-DKQGE,0,0,30,64.5,1929.95,62.25645161290323,True,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,0,0
3466-BYAVD,0,0,15,69.5,1071.4,66.9625,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True,0,0
3780-YVMFA,0,0,8,68.55,564.35,62.705555555555556,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,0,1
3874-EQOEP,1,0,7,95.0,655.5,81.9375,True,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,1,1
1679-JRFBR,0,0,70,108.15,7930.55,111.69788732394366,False,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,False,1,0
9073-ZZIAY,0,0,62,86.1,5215.25,82.78174603174604,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,True,False,0,0
3077-RSNTJ,0,0,6,19.7,113.5,16.214285714285715,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0,0
6551-GNYDG,0,0,14,80.9,1152.8,76.85333333333332,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,0,0
9167-APMXZ,0,0,22,84.15,1821.95,79.21521739130435,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0
2749-CTKAJ,0,0,22,20.15,419.9,18.256521739130434,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0
6371-NZYEG,0,0,16,64.25,1024.0,60.23529411764706,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,0,0
7554-NEWDD,0,0,10,25.7,251.6,22.87272727272727,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,0
8992-VONJD,0,0,13,56.0,764.55,54.61071428571428,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,0,0
0867-MKZVY,1,0,20,82.4,1592.35,75.82619047619048,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0,1
4482-EWFMI,0,0,2,69.7,135.2,45.06666666666666,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0,1
4648-YPBTM,0,0,53,73.9,3958.25,73.30092592592592,True,False,False,True,True,False,False,False,True,True,True,False,True,False,True,True,False,False,False,0,0
2907-ILJBN,0,0,11,20.6,233.9,19.491666666666667,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0
6345-FZOQH,0,0,69,19.9,1363.45,19.477857142857143,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0,0
3376-BMGFE,1,0,4,70.9,273.0,54.6,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1
5997-OPVFA,0,0,72,89.05,6254.45,85.67739726027396,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,0,0
3445-HXXGF,1,1,58,45.3,2651.2,44.93559322033898,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,0,0
1159-WFSGR,0,0,16,20.4,321.4,18.905882352941177,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0
7654-YWJUF,0,0,43,84.25,3539.25,80.4375,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,0,0
1875-QIVME,1,0,2,104.4,242.8,80.93333333333334,False,True,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,1,1
6727-IOTLZ,0,0,14,81.95,1181.75,78.78333333333333,True,True,False,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,True,0,0
0691-JVSYA,1,0,53,94.85,5000.2,92.59629629629629,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,1,0
5918-VUKWP,0,0,32,20.55,654.55,19.834848484848482,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0,0
1744-JHKYS,0,0,34,24.7,780.2,22.291428571428572,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0
2656-FMOKZ,1,1,15,74.45,1145.7,71.60625,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0
2070-FNEXE,1,1,7,76.45,503.6,62.95,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1
5947-SGKCL,0,0,15,105.35,1559.25,97.453125,False,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,False,False,1,1
3712-PKXZA,0,0,61,20.55,1252.0,20.193548387096776,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,0,0
6317-YPKDH,1,0,1,29.95,29.95,14.975,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0
6582-OIVSP,0,0,1,45.3,45.3,22.65,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0
9367-WXLCH,1,0,8,84.5,662.65,73.62777777777778,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,1
5524-KHNJP,0,0,33,74.75,2453.3,72.15588235294118,True,True,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0,0
